2505.0, 2795.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0060.JPG, 05-09 19:58:22, 0, Auto
2404.0, 2760.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0060.JPG, 05-09 19:58:22, 1, Auto
2506.0, 2795.0, 61.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0061.JPG, 05-09 19:58:52, 0, Auto
2409.0, 2757.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0061.JPG, 05-09 19:58:52, 1, Auto
2507.0, 2794.0, 60.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0062.JPG, 05-09 19:59:22, 0, Auto
2408.0, 2756.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0062.JPG, 05-09 19:59:22, 1, Auto
2508.0, 2794.0, 60.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0063.JPG, 05-09 19:59:52, 0, Auto
2409.0, 2756.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0063.JPG, 05-09 19:59:52, 1, Auto
2508.0, 2793.0, 60.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0064.JPG, 05-09 20:00:22, 0, Auto
2413.0, 2754.0, 76.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0064.JPG, 05-09 20:00:22, 1, Auto
2508.0, 2792.0, 60.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0065.JPG, 05-09 20:00:52, 0, Auto
2413.0, 2753.0, 76.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0065.JPG, 05-09 20:00:52, 1, Auto
