2128, 1578, 39, 50, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7025.JPG, 23-03 10:55:34, 0, Start 
1232.0, 1012.0, 39.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7076.JPG, 23-03 11:21:04, 1, Auto
1288.0, 1000.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7077.JPG, 23-03 11:21:34, 0, Auto
1292.0, 999.0, 39.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7077.JPG, 23-03 11:21:34, 1, Auto
1927, 1155, 131, 81, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7078.JPG, 23-03 11:22:04, 0, Start 
1562, 910, 105, 60, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7078.JPG, 23-03 11:22:04, 1, Start 
1927.0, 1156.0, 131.0, 81.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7078.JPG, 23-03 11:22:04, 0, Auto
1562.0, 910.0, 105.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7078.JPG, 23-03 11:22:04, 1, Auto
1959.0, 1150.0, 134.0, 83.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7079.JPG, 23-03 11:22:34, 0, Auto
1632.0, 906.0, 101.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7079.JPG, 23-03 11:22:34, 1, Auto
2000.0, 1151.0, 131.0, 81.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7080.JPG, 23-03 11:23:04, 0, Auto
1713.0, 910.0, 101.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7080.JPG, 23-03 11:23:04, 1, Auto
2042.0, 1154.0, 123.0, 76.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7081.JPG, 23-03 11:23:34, 0, Auto
1801.0, 920.0, 99.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7081.JPG, 23-03 11:23:34, 1, Auto
2080.0, 1161.0, 128.0, 79.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7082.JPG, 23-03 11:24:04, 0, Auto
1829.0, 950.0, 99.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7082.JPG, 23-03 11:24:04, 1, Auto
2117.0, 1166.0, 131.0, 81.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7083.JPG, 23-03 11:24:34, 0, Auto
1859.0, 925.0, 101.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7083.JPG, 23-03 11:24:34, 1, Auto
2165, 1161, 121, 172, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7084.JPG, 23-03 11:25:04, 0, Start 
2007, 934, 156, 201, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7084.JPG, 23-03 11:25:04, 1, Start 
2164.0, 1161.0, 121.0, 172.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7084.JPG, 23-03 11:25:04, 0, Auto
2007.0, 934.0, 156.0, 201.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7084.JPG, 23-03 11:25:04, 1, Auto
2209.0, 1159.0, 116.0, 165.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7085.JPG, 23-03 11:25:34, 0, Auto
2108.0, 962.0, 153.0, 197.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7085.JPG, 23-03 11:25:34, 1, Auto
